Depth,Temperature,Salinity
212.68879075579372,-1.4209410983469983,33.45163701496625
212.93879075579372,-1.4176570813803593,33.456977530411685
213.18879075579372,-1.4151403291183364,33.46058957505858
213.43879075579372,-1.4124783556618494,33.4631373731973
213.68879075579372,-1.4075303384752367,33.46755055935211
213.93879075579372,-1.404230718458533,33.47203983145645
214.18879075579372,-1.4017561633786548,33.475761661258446
214.43879075579372,-1.3991414309446883,33.47918999906671
214.68879075579372,-1.3983634911947702,33.48173390224967
214.93879075579372,-1.3932644975098025,33.483659367498504
215.18879075579372,-1.3861054959740662,33.48825499233823
215.43879075579372,-1.3799726703462698,33.496224481279214
215.68879075579372,-1.375505011013779,33.50406650040477
215.93879075579372,-1.372109736941444,33.50932734345082
216.18879075579372,-1.3688998284735518,33.515670097905854
216.43879075579372,-1.3650371495027114,33.521819879590765
